UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
101879,45, 45,"R",1,"R",1
101879,47, 47,"R",143,"R",143
101879,48, 48,"R",4,"R",4
101879,51, 51,"R",3,"R",3
101879,58,999,"R",1095,"R",1095
101879,90, 90,"R",45,"R",45
101879,99, 99,"R",1140,"R",1140
101897, 1,  1,"R",530,"R",436
101897,13, 13,"R",2,"R",1
101897,17, 17,"R",1,"R",1
101897,47, 47,"R",2,"R",1
101897,58,999,"R",535,"R",439
101897,98, 98,"R",6,"A",
101897,99, 99,"R",541,"R",439
101912, 1,  1,"R",32,"R",23
101912, 4,  4,"R",1,"R",1
101912, 5,  5,"R",1,"Z",0
101912, 6,  6,"R",17,"R",7
101912, 8,  8,"R",2,"R",1
101912,12, 12,"R",36,"R",22
101912,13, 13,"R",24,"R",20
101912,17, 17,"R",2,"R",1
101912,18, 18,"R",4,"R",1
101912,20, 20,"R",2,"R",2
101912,21, 21,"R",4,"R",0
101912,23, 23,"R",1,"Z",0
101912,24, 24,"R",14,"R",5
101912,25, 25,"R",8,"R",2
101912,26, 26,"R",7,"R",1
101912,27, 27,"R",5,"R",5
101912,28, 28,"R",1,"R",0
101912,29, 29,"R",7,"R",6
101912,32, 32,"R",1,"Z",0
101912,34, 34,"R",5,"R",1
101912,36, 36,"R",24,"R",10
101912,37, 37,"R",7,"R",2
101912,39, 39,"R",2,"R",0
101912,40, 40,"R",1,"R",0
101912,41, 41,"R",2,"R",2
101912,42, 42,"R",6,"R",1
101912,45, 45,"R",3,"R",2
101912,47, 47,"R",5,"R",1
101912,48, 48,"R",16,"R",9
101912,51, 51,"R",7,"R",4
101912,53, 53,"R",1,"R",1
101912,55, 55,"R",1,"R",0
101912,58,999,"R",249,"R",130
101912,78, 78,"R",1,"R",1
101912,89,999,"R",1,"R",1
101912,90, 90,"R",61,"R",9
101912,98, 98,"R",67,"A",
101912,99, 99,"R",378,"R",140
101994, 1,  1,"R",80,"R",63
101994,58,999,"R",80,"R",63
101994,98, 98,"R",2,"A",
101994,99, 99,"R",82,"R",63
102030, 1,  1,"R",539,"R",265
102030, 6,  6,"R",2,"R",1
102030,12, 12,"R",13,"R",12
102030,13, 13,"R",4,"R",4
102030,22, 22,"R",2,"R",2
102030,24, 24,"R",1,"R",1
102030,25, 25,"R",1,"R",1
102030,28, 28,"R",5,"R",0
102030,42, 42,"R",1,"R",1
102030,58,999,"R",568,"R",287
102030,72, 72,"R",1,"R",1
102030,89,999,"R",1,"R",1
102030,98, 98,"R",20,"A",
102030,99, 99,"R",589,"R",288
102049, 1,  1,"R",244,"R",233
102049, 2,  2,"R",1,"R",1
102049, 4,  4,"R",1,"R",1
102049, 5,  5,"R",7,"R",7
102049, 6,  6,"R",5,"R",5
102049, 8,  8,"R",6,"R",6
102049, 9,  9,"R",1,"R",1
102049,12, 12,"R",88,"R",87
102049,13, 13,"R",215,"R",211
102049,15, 15,"R",1,"R",1
102049,17, 17,"R",13,"R",13
102049,18, 18,"R",4,"R",4
102049,19, 19,"R",1,"R",1
102049,21, 21,"R",18,"R",17
102049,22, 22,"R",15,"R",15
102049,24, 24,"R",4,"R",3
102049,25, 25,"R",1,"R",1
